movie_encoded,movieId,title_netflix,tahun_rilis_netflix
48751,292664,Spitfire Grill,1996.0
48752,292665,The Love Letter,1999.0
48753,292666,Rudolph the Red-Nosed Reindeer,1964.0
48754,292667,The Bad and the Beautiful,1952.0
48755,292668,Justice League,2001.0
48756,292669,Devo: The Complete Truth About De-evolution,2003.0
48757,292670,A Yank in the R.A.F.,1941.0
48758,292671,Jonah: A VeggieTales Movie: Bonus Material,2002.0
48759,292672,The Weather Underground,2002.0
48760,292673,The Bonesetter,2003.0
48761,292674,We're Not Married,1952.0
48762,292675,Jade,1995.0
48763,292676,Carandiru,2004.0
48764,292677,Richard III,1995.0
48765,292678,Dragonheart,1996.0
48766,292679,Sex and the Beauties,2003.0
48767,292680,The Libertine,1969.0
48768,292681,Ricky Martin: One Night Only,1999.0
48769,292682,Ken Burns' America: Empire of the Air,1991.0
48770,292683,Crash Dive,1943.0
48771,292684,Outside the Law,2001.0
48772,292685,Lost in the Pershing Point Hotel,2000.0
48773,292686,Barbarian Queen 2,1989.0
48774,292687,Vampire Journals,1997.0
48775,292688,Invader Zim,2004.0
48776,292689,WWE: Armageddon 2003,2003.0
48777,292690,Tai Chi: The 24 Forms,1999.0
48778,292691,Maya Lin: A Strong Clear Vision,1995.0
48779,292692,,
48780,292693,Davy Crockett: 50th Anniversary Double Feature,1954.0
48781,292694,6ixtynin9,1999.0
48782,292695,Grind,1997.0
48783,292696,I Love Lucy: Season 2,1952.0
48784,292697,Congo,1995.0
48785,292698,Jingle All the Way,1996.0
48786,292699,The Killing,1956.0
48787,292700,Winter Kills,1979.0
48788,292701,Antarctica: IMAX,1991.0
48789,292702,The Frogmen,1951.0
48790,292703,Silkwood,1983.0
48791,292704,The Powerpuff Girls Movie,2002.0
48792,292705,Elfen Lied,2005.0
48793,292706,Iron Monkey 2,1996.0
48794,292707,Louder Than Bombs,2002.0
48795,292708,Record of Lodoss War: Chronicles of the Heroic Knight,1998.0
48796,292709,Chain of Command,2000.0
48797,292710,The Lemon Drop Kid,1951.0
48798,292711,WWE: Royal Rumble 2005,2005.0
48799,292712,ECW: Cyberslam '99,2002.0
48800,292713,They Came Back,2004.0
48801,292714,G3: Live in Concert,2000.0
48802,292715,Dona Herlinda and Her Son,1985.0
48803,292716,Inside the Space Station,2000.0
48804,292717,Mostly Martha,2002.0
48805,292718,The Battle of Algiers: Bonus Material,1965.0
48806,292719,A Fishy Story,1989.0
48807,292720,Sam the Iron Bridge,1993.0
48808,292721,Complete Shamanic Princess,1997.0
48809,292722,Notre Musique,2004.0
48810,292723,Sanford and Son: Season 6,1976.0
48811,292724,The Great Race,1965.0
48812,292725,Obsessed,2002.0
48813,292726,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,2004.0
48814,292727,Magnolia: Bonus Material,2000.0
48815,292728,Spartan,2004.0
48816,292729,No Way Back,1996.0
48817,292730,Scandal,1989.0
48818,292731,Duplex (Widescreen),2003.0
48819,292732,The Eye of Vichy,1993.0
48820,292733,Bruce Lee: A Warrior's Journey,2000.0
48821,292734,Dominion Tank Police Part 1 & 2,1989.0
48822,292735,Lord Peter Wimsey: Murder Must Advertise,1973.0
48823,292736,Bear Cub,2004.0
48824,292737,Silk Stockings,1957.0
48825,292738,Rambo: First Blood Part II,1985.0
48826,292739,Travel the World by Train: Africa,1999.0
48827,292740,Plain Dirty,2004.0
48828,292741,Beyonce: Live at Wembley,2003.0
48829,292742,Cube 2: Hypercube,2002.0
48830,292743,Chain of Fools,2000.0
48831,292744,Cold Blooded,2000.0
48832,292745,Nighthawks,1981.0
48833,292746,Vampire Effect (aka Twins Effect),2003.0
48834,292747,Fatal Beauty,1987.0
48835,292748,Mr. Vampire,1985.0
48836,292749,Darkwolf,2003.0
48837,292750,Drowning on Dry Land,1999.0
48838,292751,Arachnid,2002.0
48839,292752,Lucio Fulci: The Beyond,1981.0
48840,292753,Viva La Bam: Season 1,2003.0
48841,292754,Spirit Lost,1996.0
48842,292755,GTO: Great Teacher Onizuka: Set 2,1998.0
48843,292756,Cat and the Canary,1927.0
48844,292757,Naked Lies,1998.0
48845,292758,Star Trek: Voyager: Season 1,1995.0
48846,292759,Allergies: A Natural Approach,2001.0
48847,292760,Lost in the Wild,1993.0
48848,292761,Goddess of Mercy,2004.0
48849,292762,The Tricky Master,2000.0
48850,292763,The Game,1997.0
48851,292764,Deepak Chopra: The Way of the Wizard & Alchemy,2000.0
48852,292765,Get Out Your Handkerchiefs,1978.0
48853,292766,Cannibal Women in the Avocado Jungle of Death,1988.0
48854,292767,Where Sleeping Dogs Lie,1992.0
48855,292768,Sweet November,2001.0
48856,292769,The Edward R. Murrow Collection,2005.0
48857,292770,Firetrap,2001.0
48858,292771,Sleepover Nightmare,2005.0
48859,292772,A Little Princess,1995.0
48860,292773,MTV Yoga,2002.0
48861,292774,Demon Warrior Koji,2000.0
48862,292775,The Strongest Man in the World,1975.0
48863,292776,Husbands and Wives,1992.0
48864,292777,Laird: White Knuckle Extreme,2004.0
48865,292778,A Killer Within,2004.0
48866,292779,Gentlemen of Fortune,1971.0
48867,292780,Gormenghast,2000.0
48868,292781,Ninotchka,1939.0
48869,292782,John Cleese on How to Irritate People,1968.0
48870,292783,MTV: Making the Band 2: Best of Season 1,2002.0
48871,292784,One Last Dance,2003.0
48872,292785,Richard Pryor: Live on the Sunset Strip,1982.0
48873,292786,Fame,1980.0
48874,292787,The Chorus,2004.0
48875,292788,Smokey and the Bandit Part 3,1983.0
48876,292789,Cartoon Network Halloween: 9 Creepy Cartoon Capers,2004.0
48877,292790,Tomorrow,1972.0
48878,292791,Funny Face,1957.0
48879,292792,Jack,2003.0
48880,292793,The Devil's Brigade,1968.0
48881,292794,Adam-12: Season 1,1968.0
48882,292795,Reservoir Dogs,1992.0
48883,292796,The History Channel Presents: Troy: Unearthing the Legend,2004.0
48884,292797,Pressure,2002.0
48885,292798,Regular Guys,1996.0
48886,292799,Bollywood Bound,2003.0
48887,292800,Scratch,2002.0
48888,292801,The Last Shot,2004.0
48889,292802,Moby: Play,2001.0
48890,292803,IFilm: Deranged,2005.0
48891,292804,Billy Blanks: Tae Bo: Cardio Circuit 1,2004.0
48892,292805,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,1985.0
48893,292806,Panic in the Streets,1950.0
48894,292807,Death to Smoochy,2002.0
48895,292808,Dead Birds,2005.0
48896,292809,Airplane II: The Sequel,1982.0
48897,292810,Blood and Sand,1989.0
48898,292811,X2: X-Men United,2003.0
48899,292812,The SoulTaker,2003.0
48900,292813,Marilyn Manson: Fear of a Satanic Planet,2005.0
48901,292814,Arliss: The Best of Arliss,1996.0
48902,292815,Chasing Freedom,2004.0
48903,292816,Peter Tosh: Stepping Razor: Red X,1992.0
48904,292817,Taking Lives,2004.0
48905,292818,Gupt,1997.0
48906,292819,The Deer Hunter,1978.0
48907,292820,The Fall of the Roman Empire,1964.0
48908,292821,Home Movie,2001.0
48909,292822,Ruby's Bucket of Blood,2001.0
48910,292823,Sports Illustrated Swimsuit Edition: 1997,1997.0
48911,292824,Venus Boyz,2002.0
48912,292825,Troy: Bonus Material,2004.0
48913,292826,Unconstitutional: The War on Our Civil Liberties,2004.0
48914,292827,Denise Austin: Ultimate Fat Burner,2001.0
48915,292828,The Three Stooges: Sing a Song of Six Pants,1947.0
48916,292829,Star Trek: Deep Space Nine: Season 5,1996.0
48917,292830,Onmyoji,2001.0
48918,292831,The Agronomist,2004.0
48919,292832,Querelle,1982.0
48920,292833,Dinner Rush,2001.0
48921,292834,Read-Along: Beauty and the Beast,2002.0
48922,292835,That '70s Show: Season 1,1998.0
48923,292836,Impostor,2000.0
48924,292837,Cherry 2000,1988.0
48925,292838,Triumph: Live at the US Festival,1983.0
48926,292839,Neon Bible,1995.0
48927,292840,Winston Churchill: The Wilderness Years,1983.0
48928,292841,Voyage to the Planets and Beyond,2005.0
48929,292842,Yellow,1998.0
48930,292843,Chappelle's Show: Season 1,2003.0
48931,292844,Midsomer Murders: Blood Will Out,1999.0
48932,292845,The Cookout,2004.0
48933,292846,Henry: Portrait of a Serial Killer 2,1996.0
48934,292847,The Carol Burnett Show: Show Stoppers,2001.0
48935,292848,Butch and Sundance: The Early Days,1979.0
48936,292849,Peter Gabriel: Growing Up Live,2003.0
48937,292850,Unsolved Mysteries: Psychics,1987.0
48938,292851,Marooned in Iraq,2002.0
48939,292852,Gross Anatomy,1989.0
48940,292853,Chato's Land,1971.0
48941,292854,Animation Legend: Winsor McCay,1921.0
48942,292855,Unhook the Stars,1996.0
48943,292856,Cartoon Crazys Sci-Fi,1998.0
48944,292857,Broken Blossoms,1918.0
48945,292858,Led Zeppelin: The Song Remains the Same,1976.0
48946,292859,Winnie the Pooh: Springtime with Roo,2004.0
48947,292860,Woman of the Year,1942.0
48948,292861,North by Northwest,1959.0
48949,292862,Neon Genesis Evangelion: The End of Evangelion,1995.0
48950,292863,Pressure Point,1962.0
48951,292864,Stellvia,2004.0
48952,292865,Road Dogz,2002.0
48953,292866,The Boston Strangler,1968.0
48954,292867,Oleanna,1994.0
48955,292868,Michael Moore's The Awful Truth: Season 2,2001.0
48956,292869,The Hunters,1958.0
48957,292870,Cast a Giant Shadow,1966.0
48958,292871,Midsomer Murders: Strangler's Wood,2000.0
48959,292872,Stuart Little 2,2002.0
48960,292873,A Night at the Opera,1935.0
48961,292874,Westender,2003.0
48962,292875,The Hunchback of Notre Dame II,2001.0
48963,292876,Ghost Dog: The Way of the Samurai,2000.0
48964,292877,Charlotte's Web,1973.0
48965,292878,Mann,1999.0
48966,292879,Animal,2004.0
48967,292880,Marat / Sade,1967.0
48968,292881,The Big Clock,1948.0
48969,292882,Herbie Rides Again,1974.0
48970,292883,Dragon Ball: Tournament Saga,2001.0
48971,292884,,
48972,292885,The Jeff Corwin Experience: Costa Rica and the Amazon,2002.0
48973,292886,Saudade Do Futuro,2000.0
48974,292887,Touched by an Angel: Season 1,1994.0
48975,292888,The Final Countdown,1980.0
48976,292889,Parenthood,1989.0
48977,292890,Sex and the City: Season 4,2001.0
48978,292891,Saludos Amigos,1943.0
48979,292892,Female Yakuza Tale,1973.0
48980,292893,Taxi,2004.0
48981,292894,Crazy as Hell,2002.0
48982,292895,Evelyn,2002.0
48983,292896,Cold Harvest,1998.0
48984,292897,Enigma: MCMXC A.D,2003.0
48985,292898,100 Days Before the Command,1990.0
48986,292899,Micki and Maude,1984.0
48987,292900,Sarah Brightman: In Concert,1998.0
48988,292901,The Legend,1993.0
48989,292902,Blue Seed: Beyond,2003.0
48990,292903,If These Walls Could Talk,1996.0
48991,292904,Sasquatch Hunters,2005.0
48992,292905,The Devil's Own,1997.0
48993,292906,Thunderbirds Are Go,1966.0
48994,292907,Luther Vandross: Always and Forever: An Evening of Songs,1994.0
48995,292908,Saturday Night Live: The Best of Chris Kattan,2004.0
48996,292909,The Avengers,1998.0
48997,292910,Harold and Kumar Go to White Castle,2004.0
48998,292911,Chained Heat 3: Hell Mountain,2000.0
48999,292912,Saturday Night Live: The Best of Gilda Radner,2005.0
49000,292913,Lennon Legend: The Very Best of John Lennon,2003.0
49001,292914,Oasis,2002.0
49002,292915,Ace Ventura: When Nature Calls,1995.0
49003,292916,In His Life: The John Lennon Story,2000.0
49004,292917,The Hebrew Hammer,2003.0
49005,292918,Crunch: Pick Your Spot Pilates,2002.0
49006,292919,Bridget Jones's Diary,2001.0
49007,292920,Option Zero,1997.0
49008,292921,Hard Ground,2003.0
49009,292922,The Isle,2001.0
49010,292923,Les Liaisons Dangereuses,1959.0
49011,292924,King of the Hill: Season 1,1997.0
49012,292925,Jack,1996.0
49013,292926,Sesame Street: Sing Yourself Silly!,2005.0
49014,292927,Godsmack: Smack This!,2002.0
49015,292928,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,1974.0
49016,292929,The Day of the Locust,1975.0
49017,292930,Leila,2000.0
49018,292931,Ed Wood,1994.0
49019,292932,High Fidelity,2000.0
49020,292933,Pay It Forward,2000.0
49021,292934,Saturday Night Live: The Best of Jon Lovitz,1985.0
49022,292935,Combat! Season 3: Operation 2,1964.0
49023,292936,Futurama: Monster Robot Maniac Fun Collection,1999.0
49024,292937,Mandela and de Klerk,1997.0
49025,292938,Beyond Suspicion,1994.0
49026,292939,Straight to Hell,1987.0
49027,292940,Eat Your Heart Out,1997.0
49028,292941,Ju-Rei: The Uncanny,2004.0
49029,292942,Flesh Gordon,1974.0
49030,292943,Modern Vampires,1999.0
49031,292944,Mother's Boys,1994.0
49032,292945,Ghosts of Rwanda: Frontline,2004.0
49033,292946,The Plainsman,1937.0
49034,292947,Storefront Hitchcock,1997.0
49035,292948,Deftones: Live in Hawaii,2002.0
49036,292949,Dogma,1999.0
49037,292950,Wild Things,1998.0
49038,292951,Chasing Amy,1997.0
49039,292952,They Crawl,2002.0
49040,292953,Mail Call: The Best of Season 2,2003.0
49041,292954,The Pacifier,2005.0
49042,292955,Fear No Evil,1981.0
49043,292956,The Driver,1978.0
49044,292957,Star 80,1983.0
49045,292958,The Three Stooges: Three Smart Saps,1942.0
49046,292959,Rolling Stones: Rock and Roll Circus,1968.0
49047,292960,Midnight: 2000 Seen By...,1998.0
49048,292961,Tremors 4: The Legend Begins,2004.0
49049,292962,Noir,2001.0
49050,292963,French and Saunders: Live,2000.0
49051,292964,The Taming of the Shrew,1967.0
49052,292965,Star Trek: Voyager: Season 5,1998.0
49053,292966,Up and Down,2005.0
49054,292967,Iceman Cometh,1989.0
49055,292968,The Last Temptation of Christ,1988.0
49056,292969,The Swarm,1978.0
49057,292970,,
49058,292971,Guns of the Magnificent Seven,1969.0
49059,292972,Pick a Card,1997.0
49060,292973,Life or Something Like It,2002.0
49061,292974,Sadomania,1981.0
49062,292975,Sinful Nuns of St. Valentine,1973.0
49063,292976,Look at Me,2005.0
49064,292977,House of Sand and Fog,2003.0
49065,292978,The Onion Field,1979.0
49066,292979,Absolutely Fabulous: Series 5,2003.0
49067,292980,Lies,1999.0
49068,292981,The Phantom of the Opera: Special Edition,2004.0
49069,292982,The Flintstones in Viva Rock Vegas,2000.0
49070,292983,Stark Raving Mad,2002.0
49071,292984,Billy Blanks: Tae Bo: Contact 2,2004.0
49072,292985,R.E.M.: Tourfilm,1989.0
49073,292986,,
49074,292987,Spun,2003.0
49075,292988,The Best of Designing Women,1986.0
49076,292989,Playing Mona Lisa,2000.0
49077,292990,Chaplin,1918.0
49078,292991,The Trouble with Angels,1966.0
49079,292992,Jeans,1998.0
49080,292993,Third World Cop,2000.0
49081,292994,The Little Girl Who Lives Down the Lane,1976.0
49082,292995,Nine Dead Gay Guys,2003.0
49083,292996,Genesis: The Way We Walk: Live in Concert,2001.0
49084,292997,Dick Francis: The Racing Game,1979.0
49085,292998,Party Monster,2003.0
49086,292999,Crash Dive,1996.0
49087,293000,Live Wire,1992.0
49088,293001,Out for Justice,1991.0
49089,293002,Buried in the Sand: The Deception of America,2004.0
49090,293003,Hit Team,2001.0
49091,293004,Crossroads,1986.0
49092,293005,The Santa Clause 2,2002.0
49093,293006,Princess Caraboo,1994.0
49094,293007,Bizet's Carmen,1984.0
49095,293008,Body Chemistry,1990.0
49096,293009,Steal,2002.0
49097,293010,The Fan,1981.0
49098,293011,The Monkees: Season 2,1967.0
49099,293012,Danielle Steel's Heartbeat,1993.0
49100,293013,The Replacement Killers,1998.0
49101,293014,,
49102,293015,Captain Blood,1935.0
49103,293016,Arjuna: Complete Collection,2001.0
49104,293017,A Night in Casablanca,1946.0
49105,293018,In the Realm of the Senses,1976.0
49106,293019,Fangs,2001.0
49107,293020,Rio Lobo,1970.0
49108,293021,Halloween 5: The Revenge of Michael Myers,1989.0
49109,293022,Pan Tadeusz,1999.0
49110,293023,Substitute 4: Failure is Not an Option,2000.0
49111,293024,The Shaft,2001.0
49112,293025,Wings of Desire,1987.0
49113,293026,Hostage,2005.0
49114,293027,The Abductors,1972.0
49115,293028,Nightbreed,1990.0
49116,293029,Godzilla vs. The Sea Monster,1966.0
49117,293030,Frank Lloyd Wright,1998.0
49118,293031,Vendetta,1999.0
49119,293032,Jay Jay the Jet Plane: Adventures in Learning,1999.0
49120,293033,Igby Goes Down,2002.0
49121,293034,Girl,1999.0
49122,293035,Reign in Darkness,2002.0
49123,293036,Elephant,2003.0
49124,293037,Transformers: Season 3: Part 1,1986.0
49125,293038,The Deal,2004.0
49126,293039,George Lopez: Why You Crying?,2005.0
49127,293040,Saturday Night Live: The Best of Dana Carvey,1999.0
49128,293041,Agatha Christie's Poirot: Sad Cypress,2003.0
49129,293042,The Unsinkable Molly Brown,1964.0
49130,293043,My Favorite Martian #1,1963.0
49131,293044,Happiness,1998.0
49132,293045,The 10th Kingdom,2000.0
49133,293046,Recess: School's Out,2001.0
49134,293047,Graveyard Shift,1990.0
49135,293048,Barney: Barney's Colorful World: Live,2004.0
49136,293049,Zeus and Roxanne,1997.0
49137,293050,Chobits,2002.0
49138,293051,Millennium Actress,2002.0
49139,293052,Les Miserables in Concert,1996.0
49140,293053,Untamed Heart,1993.0
49141,293054,Extreme Engineering: Tokyo's Sky City,2004.0
49142,293055,Love Can Seriously Damage Your Health,1996.0
49143,293056,Girls Just Want to Have Fun,1985.0
49144,293057,Beyblade: Fierce Battle,2005.0
49145,293058,Bean: The Movie,1997.0
49146,293059,Town Without Pity,1961.0
49147,293060,Just 4 Kicks,2003.0
49148,293061,Dark Shadows: Vol. 9,1968.0
49149,293062,Mississippi Burning,1988.0
49150,293063,Rabbit-Proof Fence,2002.0
49151,293064,The Inner Tour,2001.0
49152,293065,Michael Collins,1996.0
49153,293066,The Underneath,1995.0
49154,293067,The Making of Fanny and Alexander,1986.0
49155,293068,Oswald: Welcome to the Big City!,2001.0
49156,293069,Jimmy Buffett: MiniMatinee #1,2003.0
49157,293070,Isaac Stern: Life's Virtuoso,2000.0
49158,293071,Batman the Animated Series: Vol. 3,1993.0
49159,293072,Scorched,2002.0
49160,293073,Simple Men,1992.0
49161,293074,Xena: Warrior Princess: Season 3,1995.0
49162,293075,Cardcaptor Sakura: The Movie,1999.0
49163,293076,Emma (Miniseries),1996.0
49164,293077,Kill Bill: Vol. 2,2004.0
49165,293078,Blast,2001.0
49166,293079,Basquiat,1996.0
49167,293080,Pink Narcissus,1971.0
49168,293081,Nightwalker #1: Midnight Detective,2000.0
49169,293082,Classic Cartoon Favorites: Starring Donald,2005.0
49170,293083,The Twilight Zone: Vol. 12,1962.0
49171,293084,The Return of Ruben Blades,1987.0
49172,293085,Coolie No.1,1995.0
49173,293086,,
49174,293087,Topper Returns,1941.0
49175,293088,The Matrix: Revolutions,2003.0
49176,293089,First Night of My Life: 2000 Seen By...,1998.0
49177,293090,Beneath Loch Ness,2001.0
49178,293091,City Lights,1931.0
49179,293092,Mr. Jealousy,1998.0
49180,293093,Princess Mononoke,1997.0
49181,293094,Legend of 1900,1998.0
49182,293095,Surf Ninjas,1993.0
49183,293096,VeggieTales Classics: Where's God When I'm Scared?,2004.0
49184,293097,George Carlin: Personal Favorites,1990.0
49185,293098,The Beverly Hillbillies,1962.0
49186,293099,George Carlin: What Am I Doing in New Jersey?,1988.0
49187,293100,Flypaper,1997.0
49188,293101,Building the Great Pyramid,2002.0
49189,293102,Frida,2002.0
49190,293103,Rush Hour 2,2001.0
49191,293104,Danielle Steel's Jewels,1992.0
49192,293105,The Avengers '67,1967.0
49193,293106,Journey to the Center of the Earth,1959.0
49194,293107,Doctor Who: Lost in Time: The Patrick Troughton Years,1968.0
49195,293108,His Secret Life,2001.0
49196,293109,Return to Paradise,1998.0
49197,293110,The Passion of Ayn Rand,1999.0
49198,293111,Torn Curtain,1966.0
49199,293112,Mrs. Soffel,1984.0
49200,293113,The Giallo Collection: Who Saw Her Die?,1972.0
49201,293114,Monty Python's The Meaning of Life: Special Edition,1983.0
49202,293115,Mission Kashmir,2000.0
49203,293116,Primus: Hallucino-Genetics Live 2004,2004.0
49204,293117,Broadway's Lost Treasures,2003.0
49205,293118,Glory: Bonus Material,1989.0
49206,293119,Under Suspicion,2000.0
49207,293120,Mail Call: The Best of Season 1,2002.0
49208,293121,Three Days of the Condor,1975.0
49209,293122,Mitch Hedberg: Mitch All Together,2003.0
49210,293123,Max and Ruby: Springtime for Max and Ruby,2005.0
49211,293124,The Twilight Zone: Vol. 27,1964.0
49212,293125,A Thousand Acres,1997.0
49213,293126,Blank Generation / Dancin' Barefoot,1976.0
49214,293127,Nevada Smith,1966.0
49215,293128,Saint Jack,1979.0
49216,293129,The Volcano Disaster,2004.0
49217,293130,Blue's Clues: Blue's Room: It's Hug Day,2004.0
49218,293131,Avenging Angelo,2002.0
49219,293132,Bubblegum Crisis: Hurricane Live!,2000.0
49220,293133,Butterfly Kiss,1995.0
49221,293134,Santana: Supernatural Live,2000.0
49222,293135,Avia Vampire Hunter,2005.0
49223,293136,Monsoon Wedding,2001.0
49224,293137,Two Can Play That Game,2001.0
49225,293138,The Prime of Miss Jean Brodie,1969.0
49226,293139,From Mao to Mozart: Isaac Stern in China,1979.0
49227,293140,E's Otherwise,2004.0
49228,293141,Presenting Felix the Cat,1927.0
49229,293142,Love Songs,1999.0
49230,293143,My Side of the Mountain,1969.0
49231,293144,Mumford,1999.0
49232,293145,The Last Seduction II,1999.0
49233,293146,Angie,1994.0
49234,293147,Barbarian Queen,1985.0
49235,293148,The Hitchhiker's Guide to the Galaxy,2005.0
49236,293149,Summer of the Monkeys,1998.0
49237,293150,Return to Horror High,1987.0
49238,293151,You're Invited to Mary-Kate and Ashley's Vacation Parties,1996.0
49239,293152,Young Einstein,1988.0
49240,293153,Drop Dead Fred,1991.0
49241,293154,With a Friend Like Harry,2000.0
49242,293155,The Alamo,1960.0
49243,293156,Sol Goode,2001.0
49244,293157,Here is Greenwood,1991.0
49245,293158,A Crime of Passion,2003.0
49246,293159,Rumpole of the Bailey: Series 4,1987.0
49247,293160,Ghosts of the Abyss: Bonus Material,2003.0
49248,293161,King Cobra,1998.0
49249,293162,The Blackout,1997.0
49250,293163,Roughnecks: The Starship Troopers Chronicles: The Pluto Campaign,1999.0
49251,293164,Maurice: Bonus Material,1987.0
49252,293165,Bob the Builder: The Big Game,2002.0
49253,293166,The Strip Game,2005.0
49254,293167,Kuffs,1992.0
49255,293168,Hudson Hawk,1991.0
49256,293169,Rage at Dawn,1955.0
49257,293170,First Knight,1995.0
49258,293171,The Santa Clause,1994.0
49259,293172,Radioland Murders,1994.0
49260,293173,Rangeela,1995.0
49261,293174,Solaris,1972.0
49262,293175,Cadfael: A Morbid Taste for Bones,1996.0
49263,293176,New Waterford Girl,1999.0
49264,293177,Liebestraum,1991.0
49265,293178,Fantastic Four,1994.0
49266,293179,Rebecca: Bonus Material,1940.0
49267,293180,Star Trek: Enterprise: Season 3,2003.0
49268,293181,High and Low,1963.0
49269,293182,Bloody Mallory,2002.0
49270,293183,Jimmy Neutron: Boy Genius,2001.0
49271,293184,Predator 2,1990.0
49272,293185,Tom Petty and the Heartbreakers: Live at the Olympic: The Last DJ,2002.0
49273,293186,Bullet,1996.0
49274,293187,Dunsmore,2003.0
49275,293188,Knights of Ramune,1999.0
49276,293189,The In-Laws,1979.0
49277,293190,The Visit,2000.0
49278,293191,American Beauty,1999.0
49279,293192,The Masque of the Red Death / The Premature Burial,1962.0
49280,293193,Winners & Sinners,1983.0
49281,293194,Strangers When We Meet,1960.0
49282,293195,Highlander: Season 4,1994.0
49283,293196,Popular: Season 2,2000.0
49284,293197,The Twilight Zone: Vol. 36,1961.0
49285,293198,The Terror,1963.0
49286,293199,The Autobiography of Miss Jane Pittman,1973.0
49287,293200,THX 1138: Special Edition,1971.0
49288,293201,Black Jack: The Movie,1993.0
49289,293202,,
49290,293203,Third Man on the Mountain,1959.0
49291,293204,The Curve,1998.0
49292,293205,My Family,1995.0
49293,293206,Shanghai Triad,1995.0
49294,293207,The Scarlet and the Black,1983.0
49295,293208,Blue Planet: IMAX,1990.0
49296,293209,Northanger Abbey,2000.0
49297,293210,Michael McDonald: A Gathering of Friends,2001.0
49298,293211,Particles of Truth,2003.0
49299,293212,House of Whipcord,1974.0
49300,293213,Baby Genius: Mozart and Friends,2000.0
49301,293214,By Hook or By Crook,2002.0
49302,293215,Monarch of the Glen: Series 2,2001.0
49303,293216,Alice in Wonderland (TV Version),1999.0
49304,293217,The Brady Bunch Variety Hour,1977.0
49305,293218,Bobby Darin: Mack is Back,1973.0
49306,293219,Sea of Love,1989.0
49307,293220,,
49308,293221,The Smiths: The Complete Picture,1992.0
49309,293222,Tokyo Raiders,2000.0
49310,293223,Burn Up Excess: Vol. 1: To Serve and Protect,1997.0
49311,293224,Walt Disney's Timeless Tales: Vol. 2,2005.0
49312,293225,The Secrets of the Dead Sea Scrolls,2000.0
49313,293226,Quatermass and the Pit,1968.0
49314,293227,Speed,1994.0
49315,293228,The Lickerish Quartet,1970.0
49316,293229,Jimmy Neutron: Attack of the Twonkies,2002.0
49317,293230,Offspring: Americana,1999.0
49318,293231,Spooks & Creeps,2004.0
49319,293232,Cloak and Dagger,1946.0
49320,293233,The Dr. Who Collection,1965.0
49321,293234,Bad Boy Bubby,1993.0
49322,293235,An Ideal Husband,1999.0
49323,293236,SCTV Network 90: Vol. 4,1983.0
49324,293237,UFC: Ultimate Fighting Championship: Ultimate Knockouts 3,2004.0
49325,293238,Totally F***ed Up,1994.0
49326,293239,Doctor Who: The Leisure Hive,1980.0
49327,293240,Hot Wheels: World Race,2003.0
49328,293241,Armageddon,1997.0
49329,293242,Talkin' Dirty After Dark,1991.0
49330,293243,Dario Argento Collection: Vol. 2: Demons 2,1986.0
49331,293244,My Mother Likes Women,2004.0
